,try
0,behold
1,angular
2,azure
3,billowy
4,black
5,bleary
6,bloated
7,blonde
8,blue
9,blurred
10,blushing
11,branching
12,bright
13,brilliant
14,broad
15,brown
16,brunette
17,bulbous
18,bulky
19,camouflaged
20,check out
21,chubby
22,circular
23,colorful
24,colorless
25,colossal
26,contemplate
27,contoured
28,cosmic
29,craggy
30,crimson
31,crinkled
32,crooked
33,crowded
34,crystalline
35,curved
36,dark
37,dazzling
38,deep
39,detect
40,dim
41,dingy
42,disheveled
43,distinct
44,drab
45,dreary
46,dull
47,dusty
48,elegant
49,enchanting
50,engaging
51,enormous
52,examine
53,eye
54,faded
55,faint
56,fancy
57,fat
58,filthy
59,flashy
60,flat
61,flickering
62,foggy
63,forked
64,freckled
65,fuzzy
66,gargantuan
67,gaudy
68,gawk
69,gaze
70,gigantic
71,ginormous
72,glamorous
73,glance
74,gleaming
75,glimpse
76,glistening
77,glitter
78,glittering
79,globular
80,gloomy
81,glossy
82,glower
83,glowing
84,goggle
85,gold
86,graceful
87,gray
88,green
89,grotesque
90,hazy
91,hollow
92,homely
93,huge
94,illuminated
95,immense
96,indistinct
97,inspect
98,ivory
99,knotty
100,lacy
101,lanky
102,large
103,lavender
104,lean
105,leer
106,lithe
107,little
108,lofty
109,long
110,low
111,malnourished
112,maroon
113,massive
114,miniature
115,misshapen
116,misty
117,motionless
118,mottled
119,mountainous
120,muddy
121,murky
122,narrow
123,notice
124,observe
125,obtuse
126,ogle
127,olive
128,opaque
129,orange
130,oval
131,pale
132,peek
133,peer
134,peered
135,petite
136,pink
137,portly
138,pristine
139,prodigious
140,purple
141,quaint
142,radiant
143,rectangular
144,red
145,reddish
146,regard
147,rippling
148,rotund
149,round
150,ruby
151,ruddy
152,rusty
153,sabotaged
154,scan
155,scope out
156,scrutinize
157,search
158,shadowy
159,shallow
160,shapeless
161,sheer
162,shimmering
163,shiny
164,short
165,sight
166,silver
167,skinny
168,small
169,smudged
170,soaring
171,sparkling
172,sparkly
173,spherical
174,spot
175,spotless
176,spotted
177,spy
178,square
179,steep
180,stormy
181,straight
182,strange
183,streaked
184,striped
185,study
186,sunny
187,survey
188,swooping
189,take stock of
190,tall
191,tapering
192,tarnished
193,teeny-tiny
194,tiny
195,towering
196,translucent
197,transparent
198,triangular
199,turn attention to
200,turquoise
201,twinkling
202,twisted
203,ugly
204,unsightly
205,unusual
206,vibrant
207,view
208,vivid
209,watch
210,weird
211,white
212,wide
