,try
0, accolade
1, acrimony
2, angst
3, anomaly
4, antidote
5, avant-garde
6, baroque
7, bona fide
8, boondoggle
9, bourgeois
10, bravado
11, brogue
12, brusque
13, Byzantine
14, cacophony
15, camaraderie
16, capricious
17, carte blanche
18, caustic
19, charisma
20, cloying
21, deja vu
22, dichotomy
23, dilettante
24, disheveled
25, elan
26, ennui
27, epitome
28, equanimity
29, equivocate
30, esoteric
31, euphemism
32, fait accompli
33, fastidious
34, faux pas
35, fiasco
36, finagle
37, Freudian slip
38, glib
39, gregarious
40, harbinger
41, hedonist
42, heresy
43, idiosyncratic
44, idyllic
45, indelicate
46, infinitesimal
47, insidious
48, junket
49, kitsch
50, litany
51, lurid
52, Machiavellian
53, malaise
54, malinger
55, mantra
56, maudlin
57, mercenary
58, minimalist
59, misnomer
60, narcissist
61, nirvana
62, non sequitur
63, nouveau-riche
64, oblivion
65, ogle
66, ostentatious
67, ostracize
68, panacea
69, paradox
70, peevish
71, perfunctory
72, philistine
73, precocious
74, propriety
75, quid pro quo
76, quintessential
77, red herring
78, revel
79, rhetoric
80, scintillating
81, spartan
82, stigma
83, stoic
84, suave
85, Svengali
86, sycophant
87, teetotaler
88, tete-a-tete
89, tirade
90, tryst
91, ubiquitous
92, unrequited
93, untenable
94, vicarious
95, vile
96, waft
97, white elephant
98, zealous
99, tumid
100, filigree
101, rubric
102, intemperance
103, narcissist
104, tautology
105, uxorious
106, quixotic
107, abhorrent
108, elixir
109, potpourri
110, actuarial
111, ciliated
112, raspy
113, acidulous
114, sesquipedalian
115, dolorous
116, dogma
117, perpetual
118, trepidation
119, matrix
120, benevolent
121, benign
122, belligerent
123, beacon
124, impetuous
125, ineluctable
126, assemblage
127, xenophobia
128, vexation
129, peruse
130, pernicious
131, experiential
132, skein
133, unfettered
134, chaperone
135, brazen
136, affliction
137, doppelganger
138, droll
139, beleaguer
140, oversight
141, dotage
142, nettle
143, levity
144, buccaneer
145, vanity
146, acuity
147, parity
148, equivalence
149, impasse
150, indiscrete
151, exhume
152, purvey
