,try
0,Abbot
1, Abide
2, Absolute
3, Absolution
4, Accolade
5, Acolyte
6, Affect
7, Affirmation
8, Afterlife
9, Agnostic
10, Aid
11, Alleluia
12, Altar
13, Ancestor
14, Angel
15, Anglican
16, Animism
17, Anthem
18, Apostle
19, Apparition
20, Archangel
21, Archbishop
22, Asceticism
23, Astronomy
24, Atheist
25, Atone
26, Attendance
27, Awe
28,Balance
29, Ban
30, Banns
31, Baptism
32, Beads
33, Beatitudes
34, Belief
35, Believer
36, Bells
37, Benediction
38, Benefit
39, Benevolent
40, Bestow
41, Bible
42, Bishop
43, Bless
44, Blessing
45, Bliss
46, Bond
47, Born-again
48, Bow
49, Break away
50, Buddhism
51, Burden
52,Candles
53, Canon
54, Cantor
55, Cathedral
56, Celebrant
57, Celestial
58, Ceremony
59, Chancel
60, Chapel
61, Chaplain
62, Charity
63, Cherub
64, Choice
65, Choir
66, Chorale
67, Chorus
68, Christianity
69, Church
70, Church-going
71, Clergy
72, Cloister
73, Comfort
74, Commandment
75, Commitment
76, Communal
77, Commune
78, Communion
79, Community
80, Compassion
81, Compel
82, Complines
83, Comprehension
84, Conclave
85, Confession
86, Confidence
87, Confirmation
88, Conflict
89, Confrontation
90, Confucius
91, Congregation
92, Congregational
93, Connection
94, Conquest
95, Conscience
96, Consecrate
97, Conservative
98, Contemplate
99, Control
100, Controversial
101, Convent
102, Conversion
103, Convert
104, Conviction
105, Convocation
106, Core
107, Counsel
108, Courage
109, Coven
110, Covenant
111, Covet
112, Creative
113, Creator
114, Credence
115, Credibility
116, Credo
117, Creed
118, Cross
119, Crusade
120, Curative
121,Darkness
122, Decision
123, Dedication
124, Deism
125, Deity
126, Deliverance
127, Demagogue
128, Denomination
129, Destiny
130, Devil
131, Devotee
132, Devotion
133, Devout
134, Diaspora
135, Disciple
136, Discipline
137, Discussion
138, Divine
139, Divinity
140, Doctrine
141, Dogma
142, Doubt
143, Doxology
144, Duty
145,Ecclesiastical
146, Effect
147, Elder
148, Elevate
149, Embodiment
150, Embroiled
151, Emotion
152, Empathy
153, Endorse
154, Energy
155, Enlighten
156, Ephemeral
157, Epiphany
158, Epistle
159, Essence
160, Eternal
161, Ethereal
162, Ethics
163, Eucharist
164, Evangelical
165, Event
166, Everlasting
167, Evidence
168, Exalt
169, Exaltation
170, Exile
171, Exodus
172, Expiate
173,Faith
174, Faithful
175, Family
176, Fasting
177, Fate
178, Father
179, Favor
180, Filial
181, Forgiveness
182, Fundamental
183,Gaze
184, Gentile
185, Genuflect
186, Gift
187, Glory
188, God
